TYPES,Types
TOUROPERATORORTRAVELAGENCY,TourOperatorOrTravelAgency
CROSSCOUNTRYSKITRAIL,CrossCountrySkiTrail
MILITARYCEMETERY,MilitaryCemetery
REMEMBRANCESITE,RemembranceSite
DOWNHILLSKIRUN,DownhillSkiRun
FORT,Fort
ROMANPATH,RomanPath
BUSINESSEVENT,BusinessEvent
BUSINESSEVENT,BusinessEvent
TAXICOMPANY,TaxiCompany
RAMBLING,Rambling
FESTIVAL,Festival
FESTIVAL,Festival
RECITAL,Recital
SOCIALEVENT,SocialEvent
LOCALANIMATION,LocalAnimation
SOCIALEVENT,SocialEvent
TRAININGWORKSHOP,TrainingWorkshop
TASTING,Tasting
TRADITIONALCELEBRATION,TraditionalCelebration
POINTOFVIEW,PointOfView
CHILDRENSEVENT,ChildrensEvent
RALLY,Rally
OPENDAY,OpenDay
ACTIVITYPROVIDER,ActivityProvider
FREEPRACTICE,FreePractice
LEISURESPORTACTIVITYPROVIDER,LeisureSportActivityProvider
DANCEEVENT,DanceEvent
DANCEEVENT,DanceEvent
GAME,Game
PARKING,Parking
TRAINEESHIP,Traineeship
ELECTRICVEHICLECHARGINGPOINT,ElectricVehicleChargingPoint
SPORTSDEMONSTRATION,SportsDemonstration
READING,Reading
ACCOMPANIEDPRACTICE,AccompaniedPractice
BOUTIQUEORLOCALSHOP,BoutiqueOrLocalShop
WATERSOURCE,WaterSource
PUBLICLAVATORIES,PublicLavatories
BRICABRAC,BricABrac
COURSE,Course
DEVELOPMENTCOURSE,DevelopmentCourse
CONGRESS,Congress
PHARMACY,Pharmacy
PHARMACY,Pharmacy
OPERA,Opera
CARNIVAL,Carnival
CAVESINKHOLEORAVEN,CaveSinkholeOrAven
COMPETITION,Competition
CIRCUSEVENT,CircusEvent
LEISURECOMPLEX,LeisureComplex
VIAFERRATA,ViaFerrata
HOUSE,House
ACCOMMODATIONPRODUCT,AccommodationProduct
HOUSE,House
REMARKABLEHOUSE,RemarkableHouse
DUNGEON,Dungeon
VISUALARTSEVENT,VisualArtsEvent
PARADE,Parade
MULTIACTIVITY,MultiActivity
FARMHOUSEINN,FarmhouseInn
HARVEST,Harvest
TOURISTBUS,TouristBus
CHAPEL,Chapel
RELIGIOUSEVENT,ReligiousEvent
PILGRIMAGEANDPROCESSION,PilgrimageAndProcession
COMMEMORATION,Commemoration
APARTMENT,Apartment
APARTMENT,Apartment
WINECELLAR,WineCellar
HUT,Hut
TREEHOUSE,TreeHouse
FASTFOODRESTAURANT,FastFoodRestaurant
FASTFOODRESTAURANT,FastFoodRestaurant
PRODUCER,Producer
FARMER,Farmer
BRASSERIEORTAVERN,BrasserieOrTavern
GOURMETRESTAURANT,GourmetRestaurant
ORCHARD,Orchard
COOPERATIVE,Cooperative
SCREENINGEVENT,ScreeningEvent
SCREENINGEVENT,ScreeningEvent
TIPI,Tipi
LAKE,Lake
FORTIFIEDSET,FortifiedSet
YURT,Yurt
BASTIDE,Bastide
SELFSERVICECAFETERIA,SelfServiceCafeteria
BISHOPRIC,Bishopric
CIRCUSPLACE,CircusPlace
FOREST,Forest
MEGALITHDOLMENMENHIR,MegalithDolmenMenhir
STONE,Stone
COMMANDERIE,Commanderie
BREWERY,Brewery
MOUNTAINRESORT,MountainResort
CONVENT,Convent
ROOM,Room
KIDSCLUB,KidsClub
GYMNASIUM,Gymnasium
TRANSPORTER,Transporter
CASTLEANDPRESTIGEMANSION,CastleAndPrestigeMansion
COL,Col
FIRSTPRACTICE,FirstPractice
BUSSTOP,BusStop
BUSSTOP,BusStop
CHALET,Chalet
STREETFOOD,StreetFood
AUDITORIUM,Auditorium
TOURISMCABLECAR,TourismCableCar
HAMMAM,Hammam
HEALTHCAREPLACE,HealthcarePlace
HEALTHCAREPROFESSIONAL,HealthcareProfessional
GARAGEORAIRPUMP,GarageOrAirPump
BOG,Bog
CIRQUE,Cirque
RIVER,River
GORGE,Gorge
CHILDRENSGITE,ChildrensGite
SOURCE,Source
CARORBIKEWASH,CarOrBikeWash
SQUASHCOURT,SquashCourt
CARPOOLAREA,CarpoolArea
UNDERWATERROUTE,UnderwaterRoute
POND,Pond
PRODUCERSGROUP,ProducersGroup
SHOPPINGCENTREANDGALLERY,ShoppingCentreAndGallery
CYBERCAFE,Cybercafe
ATM,ATM
WATERFALL,Waterfall
CABARET,Cabaret
BUNGALOW,Bungalow
BEACHCLUB,BeachClub
TENT,Tent
CAUSSE,Causse
TAXISTATION,TaxiStation
INTRODUCTIONCOURSE,IntroductionCourse
BIKESTATIONORDEPOT,BikeStationOrDepot
SPORTSCLUB,SportsClub
WIFIHOTSPOT,WifiHotSpot
MOUNTAINRESTAURANT,MountainRestaurant
BASILICA,Basilica
TRAMPOLINE,Trampoline
TOBOGGANBOBSLEIGH,TobogganBobsleigh
LOCK,Lock
CITADEL,Citadel
TABLEHOTES,TableHotes
SUMMERTOBOGGAN,SummerToboggan
BOATRESTAURANT,BoatRestaurant
RACETRACK,Racetrack
WASHHOUSE,WashHouse
SYNAGOGUE,Synagogue
PIGEONLOFT,PigeonLoft
CIVILCEMETERY,CivilCemetery
CULTURALACTIVITYPROVIDER,CulturalActivityProvider
HYPERMARKETANDSUPERMARKET,HypermarketAndSupermarket
LEFTLUGGAGE,LeftLuggage
TOURGUIDEAGENCY,TourGuideAgency
CAMPINGCAR,CampingCar
TABLEHOTEGUESTHOUSE,TableHoteGuesthouse
TRAINSTATION,TrainStation
TRAINSTATION,TrainStation
PROFESSIONALTOURGUIDE,ProfessionalTourGuide
VELODROME,Velodrome
VALLEY,Valley
MOUNTAIN,Mountain
BUBBLE,Bubble
CAMPINGPITCH,CampingPitch
CAMPINGPITCH,CampingPitch
SEMINAR,Seminar
TRADER,Trader
STABLES,Stables
TRIUMPHALARCH,TriumphalArch
THALASSOTHERAPYCENTRE,ThalassotherapyCentre
CINEMATHEQUE,Cinematheque
