FEATURE,Feature
BABY CLUB,Baby club
ASPIRATEUR,Aspirateur
JARDIN COMMUN,Jardin commun
SURVEILLANCE DE NUIT,Surveillance de nuit
MINI-GOLF,Mini-golf
SALLE OU COIN TELEVISION,Salle ou coin télévision
SALLE DE JEUX,Salle de jeux
DEPOT DE GAZ,Dépôt de gaz
DEPOT DE GLACE,Dépôt de glace
BASE DE CANOE KAYAK,Base de canoë kayak
LOCATION BUNGALOW,Location bungalow
GARAGE MORT,Garage mort
SEMINAIRE,Séminaire
LAVE LINGE COLLECTIF,Lave linge collectif
LOCATION BUNGATOILE,Location bungatoile
SOLARIUM,Solarium
RESERVATIONS DE PRESTATIONS EXTERIEURES,Réservations de prestations extérieures
COFFRE,Coffre
TERRAIN DE VOLLEY-BALL,Terrain de volley-ball
TABLE DE PING-PONG,Table de ping-pong
MESSAGES TELEPHONIQUES,Messages téléphoniques
POINT COURRIER,Point courrier
PRET DE MATERIEL DE SPORT,Prêt de matériel de sport
PANIER PIQUE NIQUE,Panier pique nique
LOCATION DE TENTES,Location de tentes
DISCOTHEQUE,Discothèque
RESERVATIONS DE DERNIERE MINUTE,Réservations de dernière minute
GARDERIE _ NURSERIE,Garderie _ nurserie
GARAGE PRIVE,Garage privé
SELF SERVICE,Self service
PRET DE VELO,Prêt de vélo
SALLE DE REPASSAGE,Salle de repassage
VENTE DE PRODUITS TOURISTIQUES,Vente de produits touristiques
TRANSPORT DE BAGAGES,Transport de bagages
CASINO,Casino
INFORMATIONS GENERALES,Informations générales
EXPOSITIONS,Expositions
FOUR,Four
TERRASSE BALCON,Terrasse balcon
RESTAURATION SUR PLACE,Restauration sur place
DRIVE,Drive
BUVETTE,Buvette
LOCATION DE CANOE _ KAYAK,Location de canoë _ kayak
SANITAIRES,Sanitaires
SALLE DE CONFERENCE,Salle de conférence
CANAL PLUS,Canal plus
TOBOGGAN,Toboggan
LIBRAIRIE,Librairie
LAVABO,Lavabo
CLICK AND COLLECT ,Click and Collect 
RESERVATION,Réservation
BASE DE LOISIRS,Base de loisirs
LAVOIRS EAU CHAUDE,Lavoirs eau chaude
LOCATION DE VELO ELECTRIQUE,Location de vélo électrique
ORGANISATION DE CIRCUITS TOURISTIQUES,Organisation de circuits touristiques
DEPOT DE PAIN,Dépôt de pain
EMPLACEMENTS LOUES A L'ANNEE,Emplacements loués à l'année
ABRI COUVERT,Abri couvert
PIECE,Pièce
ACCUEIL NUIT,Accueil nuit
PARCOURS DE GOLF,Parcours de golf
SENTIERS BALISES,Sentiers balisés
POINT TELEPHONE,Point téléphone
TERRASSE PRIVATIVE,Terrasse privative
HALTE NAUTIQUE,Halte nautique
LOCATION DE BARQUE,Location de barque
RESERVATION AERIENNES,Réservation aériennes
BALANCOIRE,Balançoire
CINEMA,Cinéma
MINI-BAR,Mini-bar
BABY SITTER,Baby sitter
TERRAIN DE SQUASH,Terrain de squash
RADIO,Radio
AERODROME,Aérodrome
COUVERT,Couvert
PARKING A PROXIMITE,Parking à proximité
LIVRAISON DE REPAS,Livraison de repas
TERRAIN DE BASKET-BALL,Terrain de basket-ball
TERRAIN DE FOOTBALL,Terrain de football
TOBOGGAN AQUATIQUE,Toboggan aquatique
AIRE DE SERVICE CAMPING CAR,Aire de service camping car
SNACK BAR,Snack bar
JARDIN DES NEIGES,Jardin des neiges
HALL D'EXPOSITION,Hall d'exposition
TERRAIN DE BEACH VOLLEY,Terrain de beach volley
LOCAL SKI,Local ski
CANIDOUCHE,Canidouche
CENTRE EQUESTRE,Centre équestre
TERRAIN DE BADMINTON,Terrain de badminton
